date,county,fips,new_cases,new_deaths
2020-03-13,Ada,16001.0,0.0,0.0
2020-03-14,Ada,16001.0,1.0,0.0
2020-03-15,Ada,16001.0,0.0,0.0
2020-03-16,Ada,16001.0,0.0,0.0
2020-03-17,Ada,16001.0,1.0,0.0
2020-03-18,Ada,16001.0,0.0,0.0
2020-03-19,Ada,16001.0,0.0,0.0
2020-03-20,Ada,16001.0,1.0,0.0
2020-03-21,Ada,16001.0,7.0,0.0
2020-03-22,Ada,16001.0,2.0,0.0
2020-03-23,Ada,16001.0,2.0,0.0
2020-03-24,Ada,16001.0,7.0,0.0
2020-03-25,Ada,16001.0,15.0,0.0
2020-03-26,Ada,16001.0,17.0,0.0
2020-03-27,Ada,16001.0,22.0,0.0
2020-03-28,Ada,16001.0,12.0,1.0
2020-03-29,Ada,16001.0,25.0,1.0
2020-03-30,Ada,16001.0,38.0,1.0
2020-03-31,Ada,16001.0,44.0,0.0
2020-04-01,Ada,16001.0,31.0,0.0
2020-04-02,Ada,16001.0,81.0,0.0
2020-04-03,Ada,16001.0,44.0,0.0
2020-04-04,Ada,16001.0,34.0,0.0
2020-04-05,Ada,16001.0,17.0,0.0
2020-04-06,Ada,16001.0,17.0,0.0
2020-04-07,Ada,16001.0,19.0,0.0
2020-04-08,Ada,16001.0,9.0,2.0
2020-04-09,Ada,16001.0,49.0,1.0
2020-04-10,Ada,16001.0,20.0,0.0
2020-04-11,Ada,16001.0,5.0,0.0
2020-04-12,Ada,16001.0,0.0,0.0
2020-04-13,Ada,16001.0,18.0,3.0
2020-04-14,Ada,16001.0,18.0,0.0
2020-04-15,Ada,16001.0,10.0,0.0
2020-04-16,Ada,16001.0,9.0,0.0
2020-04-17,Ada,16001.0,17.0,0.0
2020-04-18,Ada,16001.0,5.0,1.0
2020-04-19,Ada,16001.0,0.0,0.0
2020-04-20,Ada,16001.0,18.0,2.0
2020-04-21,Ada,16001.0,6.0,0.0
2020-04-22,Ada,16001.0,8.0,2.0
2020-04-23,Ada,16001.0,5.0,0.0
2020-04-24,Ada,16001.0,7.0,0.0
2020-04-25,Ada,16001.0,8.0,1.0
2020-04-26,Ada,16001.0,0.0,0.0
2020-04-27,Ada,16001.0,11.0,0.0
2020-04-28,Ada,16001.0,1.0,1.0
2020-04-29,Ada,16001.0,9.0,0.0
2020-04-30,Ada,16001.0,10.0,0.0
2020-05-01,Ada,16001.0,8.0,0.0
2020-05-02,Ada,16001.0,16.0,1.0
2020-05-03,Ada,16001.0,0.0,0.0
2020-05-04,Ada,16001.0,5.0,0.0
2020-05-05,Ada,16001.0,3.0,2.0
2020-05-06,Ada,16001.0,4.0,0.0
2020-05-07,Ada,16001.0,4.0,0.0
2020-05-08,Ada,16001.0,10.0,0.0
2020-05-09,Ada,16001.0,2.0,0.0
2020-05-10,Ada,16001.0,0.0,0.0
2020-05-11,Ada,16001.0,6.0,2.0
2020-05-12,Ada,16001.0,5.0,0.0
2020-05-13,Ada,16001.0,10.0,0.0
2020-05-14,Ada,16001.0,5.0,1.0
2020-05-15,Ada,16001.0,11.0,0.0
2020-05-16,Ada,16001.0,3.0,0.0
2020-05-17,Ada,16001.0,0.0,0.0
2020-05-18,Ada,16001.0,7.0,0.0
2020-05-19,Ada,16001.0,3.0,1.0
2020-05-20,Ada,16001.0,9.0,0.0
2020-05-21,Ada,16001.0,-1.0,0.0
2020-05-22,Ada,16001.0,3.0,0.0
2020-05-23,Ada,16001.0,2.0,0.0
2020-05-24,Ada,16001.0,0.0,0.0
2020-05-25,Ada,16001.0,2.0,0.0
2020-05-26,Ada,16001.0,0.0,-1.0
2020-05-27,Ada,16001.0,2.0,0.0
2020-05-28,Ada,16001.0,3.0,0.0
2020-05-29,Ada,16001.0,2.0,0.0
2020-05-30,Ada,16001.0,7.0,0.0
2020-05-31,Ada,16001.0,0.0,0.0
2020-06-01,Ada,16001.0,6.0,0.0
2020-06-02,Ada,16001.0,0.0,0.0
2020-06-03,Ada,16001.0,5.0,0.0
2020-06-04,Ada,16001.0,9.0,0.0
2020-06-05,Ada,16001.0,1.0,0.0
2020-06-06,Ada,16001.0,5.0,0.0
2020-06-07,Ada,16001.0,0.0,0.0
2020-06-08,Ada,16001.0,6.0,0.0
2020-06-09,Ada,16001.0,4.0,0.0
2020-06-10,Ada,16001.0,6.0,0.0
2020-06-11,Ada,16001.0,12.0,0.0
2020-06-12,Ada,16001.0,11.0,0.0
2020-06-13,Ada,16001.0,15.0,0.0
2020-06-14,Ada,16001.0,0.0,0.0
2020-06-15,Ada,16001.0,23.0,0.0
2020-06-16,Ada,16001.0,32.0,0.0
2020-06-17,Ada,16001.0,39.0,0.0
2020-06-18,Ada,16001.0,57.0,0.0
2020-06-19,Ada,16001.0,57.0,0.0
2020-06-20,Ada,16001.0,66.0,0.0
2020-06-21,Ada,16001.0,0.0,0.0
2020-06-22,Ada,16001.0,141.0,0.0
2020-06-23,Ada,16001.0,76.0,0.0
2020-06-24,Ada,16001.0,101.0,1.0
2020-06-25,Ada,16001.0,101.0,0.0
2020-06-26,Ada,16001.0,167.0,0.0
2020-06-27,Ada,16001.0,89.0,0.0
2020-06-28,Ada,16001.0,0.0,0.0
2020-06-29,Ada,16001.0,199.0,0.0
2020-06-30,Ada,16001.0,129.0,0.0
2020-07-01,Ada,16001.0,119.0,0.0
2020-07-02,Ada,16001.0,79.0,0.0
2020-07-03,Ada,16001.0,140.0,0.0
2020-07-04,Ada,16001.0,124.0,0.0
2020-07-05,Ada,16001.0,204.0,0.0
2020-07-06,Ada,16001.0,238.0,0.0
2020-07-07,Ada,16001.0,195.0,0.0
2020-07-08,Ada,16001.0,163.0,0.0
2020-07-09,Ada,16001.0,211.0,2.0
2020-07-10,Ada,16001.0,170.0,0.0
2020-07-11,Ada,16001.0,163.0,0.0
2020-07-12,Ada,16001.0,171.0,0.0
2020-07-13,Ada,16001.0,326.0,0.0
2020-07-14,Ada,16001.0,195.0,0.0
2020-07-15,Ada,16001.0,213.0,4.0
2020-07-16,Ada,16001.0,252.0,1.0
2020-07-17,Ada,16001.0,325.0,2.0
2020-07-18,Ada,16001.0,266.0,0.0
2020-07-19,Ada,16001.0,177.0,0.0
2020-07-20,Ada,16001.0,99.0,1.0
2020-07-21,Ada,16001.0,196.0,3.0
2020-07-22,Ada,16001.0,228.0,5.0
2020-07-23,Ada,16001.0,196.0,3.0
2020-07-24,Ada,16001.0,113.0,1.0
2020-07-25,Ada,16001.0,210.0,0.0
2020-07-26,Ada,16001.0,150.0,0.0
2020-07-27,Ada,16001.0,111.0,3.0
2020-07-28,Ada,16001.0,175.0,2.0
2020-07-29,Ada,16001.0,137.0,3.0
2020-07-30,Ada,16001.0,176.0,3.0
2020-07-31,Ada,16001.0,143.0,6.0
2020-08-01,Ada,16001.0,170.0,0.0
2020-08-02,Ada,16001.0,37.0,0.0
2020-08-03,Ada,16001.0,28.0,4.0
2020-08-04,Ada,16001.0,211.0,4.0
2020-08-05,Ada,16001.0,135.0,2.0
2020-08-06,Ada,16001.0,154.0,4.0
2020-08-07,Ada,16001.0,151.0,1.0
2020-08-08,Ada,16001.0,212.0,4.0
2020-08-09,Ada,16001.0,17.0,0.0
2020-08-10,Ada,16001.0,195.0,2.0
2020-08-11,Ada,16001.0,171.0,2.0
2020-08-12,Ada,16001.0,110.0,0.0
2020-08-13,Ada,16001.0,170.0,5.0
2020-08-14,Ada,16001.0,158.0,4.0
2020-08-15,Ada,16001.0,171.0,1.0
2020-08-16,Ada,16001.0,44.0,0.0
2020-08-17,Ada,16001.0,80.0,1.0
2020-08-18,Ada,16001.0,84.0,2.0
2020-08-19,Ada,16001.0,96.0,4.0
2020-08-20,Ada,16001.0,120.0,0.0
2020-08-21,Ada,16001.0,102.0,7.0
2020-08-22,Ada,16001.0,112.0,0.0
2020-08-23,Ada,16001.0,30.0,0.0
2020-08-24,Ada,16001.0,108.0,2.0
2020-08-25,Ada,16001.0,79.0,2.0
2020-08-26,Ada,16001.0,92.0,3.0
2020-08-27,Ada,16001.0,73.0,2.0
2020-08-28,Ada,16001.0,84.0,7.0
2020-08-29,Ada,16001.0,52.0,0.0
2020-08-30,Ada,16001.0,29.0,0.0
2020-08-31,Ada,16001.0,67.0,1.0
2020-09-01,Ada,16001.0,121.0,1.0
2020-09-02,Ada,16001.0,77.0,1.0
2020-09-03,Ada,16001.0,37.0,0.0
2020-09-04,Ada,16001.0,70.0,1.0
2020-09-05,Ada,16001.0,77.0,0.0
2020-09-06,Ada,16001.0,64.0,1.0
2020-09-07,Ada,16001.0,6.0,0.0
2020-09-08,Ada,16001.0,65.0,1.0
2020-09-09,Ada,16001.0,57.0,7.0
2020-09-10,Ada,16001.0,73.0,0.0
2020-09-11,Ada,16001.0,50.0,2.0
2020-09-12,Ada,16001.0,50.0,0.0
2020-09-13,Ada,16001.0,30.0,0.0
2020-09-14,Ada,16001.0,27.0,0.0
2020-09-15,Ada,16001.0,63.0,2.0
2020-09-16,Ada,16001.0,63.0,1.0
2020-09-17,Ada,16001.0,63.0,0.0
2020-09-18,Ada,16001.0,99.0,1.0
2020-09-19,Ada,16001.0,53.0,0.0
2020-09-20,Ada,16001.0,30.0,1.0
2020-09-21,Ada,16001.0,66.0,0.0
2020-09-22,Ada,16001.0,54.0,2.0
2020-09-23,Ada,16001.0,42.0,0.0
2020-09-24,Ada,16001.0,61.0,0.0
2020-09-25,Ada,16001.0,146.0,0.0
2020-09-26,Ada,16001.0,0.0,0.0
2020-09-27,Ada,16001.0,0.0,0.0
2020-09-28,Ada,16001.0,222.0,0.0
2020-09-29,Ada,16001.0,52.0,0.0
2020-09-30,Ada,16001.0,135.0,1.0
2020-10-01,Ada,16001.0,117.0,0.0
2020-10-02,Ada,16001.0,64.0,0.0
2020-10-03,Ada,16001.0,0.0,2.0
2020-10-04,Ada,16001.0,0.0,1.0
2020-10-05,Ada,16001.0,306.0,1.0
2020-10-06,Ada,16001.0,116.0,1.0
2020-10-07,Ada,16001.0,154.0,0.0
2020-10-08,Ada,16001.0,130.0,0.0
2020-10-09,Ada,16001.0,122.0,0.0
2020-10-10,Ada,16001.0,0.0,0.0
2020-10-11,Ada,16001.0,0.0,0.0
2020-10-12,Ada,16001.0,370.0,2.0
2020-10-13,Ada,16001.0,51.0,1.0
2020-10-14,Ada,16001.0,78.0,0.0
2020-10-15,Ada,16001.0,204.0,0.0
2020-10-16,Ada,16001.0,0.0,0.0
2020-10-17,Ada,16001.0,0.0,1.0
2020-10-18,Ada,16001.0,0.0,0.0
2020-10-19,Ada,16001.0,374.0,0.0
2020-10-20,Ada,16001.0,187.0,0.0
2020-10-21,Ada,16001.0,66.0,2.0
2020-10-22,Ada,16001.0,302.0,1.0
2020-10-23,Ada,16001.0,206.0,3.0
2020-10-24,Ada,16001.0,203.0,1.0
2020-10-25,Ada,16001.0,0.0,1.0
2020-10-26,Ada,16001.0,281.0,2.0
2020-10-27,Ada,16001.0,140.0,0.0
2020-10-28,Ada,16001.0,145.0,0.0
2020-10-29,Ada,16001.0,217.0,8.0
2020-10-30,Ada,16001.0,162.0,3.0
2020-10-31,Ada,16001.0,202.0,2.0
2020-11-01,Ada,16001.0,125.0,1.0
2020-11-02,Ada,16001.0,148.0,3.0
2020-11-03,Ada,16001.0,298.0,0.0
2020-11-04,Ada,16001.0,276.0,1.0
2020-11-05,Ada,16001.0,217.0,1.0
2020-11-06,Ada,16001.0,308.0,5.0
2020-11-07,Ada,16001.0,367.0,0.0
2020-11-08,Ada,16001.0,260.0,2.0
2020-11-09,Ada,16001.0,348.0,2.0
2020-11-10,Ada,16001.0,348.0,4.0
2020-11-11,Ada,16001.0,471.0,4.0
2020-11-12,Ada,16001.0,233.0,1.0
2020-11-13,Ada,16001.0,241.0,0.0
2020-11-14,Ada,16001.0,312.0,4.0
2020-11-15,Ada,16001.0,283.0,0.0
2020-11-16,Ada,16001.0,185.0,1.0
2020-11-17,Ada,16001.0,286.0,6.0
2020-11-18,Ada,16001.0,284.0,0.0
2020-11-19,Ada,16001.0,344.0,8.0
2020-11-20,Ada,16001.0,472.0,2.0
2020-11-21,Ada,16001.0,212.0,0.0
2020-11-22,Ada,16001.0,111.0,0.0
2020-11-23,Ada,16001.0,288.0,5.0
2020-11-24,Ada,16001.0,305.0,0.0
2020-11-25,Ada,16001.0,324.0,6.0
2020-11-26,Ada,16001.0,0.0,0.0
2020-11-27,Ada,16001.0,538.0,2.0
2020-11-28,Ada,16001.0,221.0,2.0
2020-11-29,Ada,16001.0,233.0,0.0
2020-11-30,Ada,16001.0,457.0,1.0
2020-12-01,Ada,16001.0,388.0,4.0
2020-12-02,Ada,16001.0,464.0,7.0
2020-12-03,Ada,16001.0,363.0,6.0
2020-12-04,Ada,16001.0,425.0,6.0
2020-12-05,Ada,16001.0,373.0,0.0
2020-12-06,Ada,16001.0,241.0,1.0
2020-12-07,Ada,16001.0,474.0,7.0
2020-12-08,Ada,16001.0,514.0,0.0
2020-12-09,Ada,16001.0,704.0,3.0
2020-12-10,Ada,16001.0,438.0,1.0
2020-12-11,Ada,16001.0,570.0,7.0
2020-12-12,Ada,16001.0,295.0,2.0
2020-12-13,Ada,16001.0,157.0,0.0
2020-12-14,Ada,16001.0,495.0,6.0
2020-12-15,Ada,16001.0,468.0,4.0
2020-12-16,Ada,16001.0,524.0,7.0
2020-12-17,Ada,16001.0,478.0,6.0
2020-12-18,Ada,16001.0,427.0,3.0
2020-12-19,Ada,16001.0,307.0,0.0
2020-12-20,Ada,16001.0,183.0,0.0
2020-12-21,Ada,16001.0,561.0,5.0
2020-12-22,Ada,16001.0,551.0,4.0
2020-12-23,Ada,16001.0,542.0,10.0
2020-12-24,Ada,16001.0,422.0,3.0
2020-12-25,Ada,16001.0,0.0,0.0
2020-12-26,Ada,16001.0,253.0,2.0
2020-12-27,Ada,16001.0,150.0,0.0
2020-12-28,Ada,16001.0,515.0,3.0
2020-12-29,Ada,16001.0,546.0,0.0
2020-12-30,Ada,16001.0,287.0,5.0
2020-12-31,Ada,16001.0,481.0,12.0
2021-01-01,Ada,16001.0,0.0,0.0
2021-01-02,Ada,16001.0,216.0,3.0
2021-01-03,Ada,16001.0,48.0,0.0
2021-01-04,Ada,16001.0,414.0,0.0
2021-01-05,Ada,16001.0,369.0,3.0
2021-01-06,Ada,16001.0,274.0,2.0
2021-01-07,Ada,16001.0,354.0,3.0
2021-01-08,Ada,16001.0,278.0,2.0
2021-01-09,Ada,16001.0,234.0,0.0
2021-01-10,Ada,16001.0,186.0,6.0
2021-01-11,Ada,16001.0,216.0,6.0
2021-01-12,Ada,16001.0,167.0,3.0
2021-01-13,Ada,16001.0,280.0,2.0
2021-01-14,Ada,16001.0,249.0,2.0
2021-01-15,Ada,16001.0,458.0,0.0
2021-01-16,Ada,16001.0,217.0,0.0
2021-01-17,Ada,16001.0,129.0,0.0
2021-01-18,Ada,16001.0,0.0,0.0
2021-01-19,Ada,16001.0,395.0,4.0
2021-01-20,Ada,16001.0,131.0,0.0
2021-01-21,Ada,16001.0,178.0,3.0
2021-01-22,Ada,16001.0,164.0,0.0
2021-01-23,Ada,16001.0,161.0,1.0
2021-01-24,Ada,16001.0,62.0,0.0
2021-01-25,Ada,16001.0,154.0,4.0
2021-01-26,Ada,16001.0,170.0,3.0
2021-01-27,Ada,16001.0,125.0,4.0
2021-01-28,Ada,16001.0,136.0,4.0
2021-01-29,Ada,16001.0,187.0,-1.0
2021-01-30,Ada,16001.0,114.0,0.0
2021-01-31,Ada,16001.0,0.0,0.0
2021-02-01,Ada,16001.0,137.0,4.0
2021-02-02,Ada,16001.0,151.0,0.0
2021-02-03,Ada,16001.0,118.0,1.0
2021-02-04,Ada,16001.0,121.0,0.0
2021-02-05,Ada,16001.0,85.0,2.0
2021-02-06,Ada,16001.0,56.0,2.0
2021-02-07,Ada,16001.0,0.0,0.0
2021-02-08,Ada,16001.0,141.0,4.0
2021-02-09,Ada,16001.0,99.0,0.0
2021-02-10,Ada,16001.0,110.0,2.0
2021-02-11,Ada,16001.0,114.0,0.0
2021-02-12,Ada,16001.0,105.0,2.0
2021-02-13,Ada,16001.0,55.0,1.0
2021-02-14,Ada,16001.0,0.0,0.0
2021-02-15,Ada,16001.0,0.0,0.0
2021-02-16,Ada,16001.0,152.0,0.0
2021-02-17,Ada,16001.0,118.0,1.0
2021-02-18,Ada,16001.0,58.0,0.0
2021-02-19,Ada,16001.0,59.0,0.0
2021-02-20,Ada,16001.0,28.0,0.0
2021-02-21,Ada,16001.0,0.0,0.0
2021-02-22,Ada,16001.0,134.0,0.0
2021-02-23,Ada,16001.0,91.0,2.0
2021-02-24,Ada,16001.0,73.0,0.0
2021-02-25,Ada,16001.0,91.0,2.0
2021-02-26,Ada,16001.0,117.0,2.0
2021-02-27,Ada,16001.0,19.0,0.0
2021-02-28,Ada,16001.0,0.0,0.0
2021-03-01,Ada,16001.0,140.0,1.0
2021-03-02,Ada,16001.0,145.0,2.0
2021-03-03,Ada,16001.0,132.0,0.0
2021-03-04,Ada,16001.0,62.0,0.0
2021-03-05,Ada,16001.0,36.0,0.0
2021-03-06,Ada,16001.0,0.0,0.0
2021-03-07,Ada,16001.0,0.0,0.0
2021-03-08,Ada,16001.0,154.0,3.0
2021-03-09,Ada,16001.0,89.0,0.0
2021-03-10,Ada,16001.0,93.0,0.0
2021-03-11,Ada,16001.0,74.0,1.0
2021-03-12,Ada,16001.0,87.0,0.0
2021-03-13,Ada,16001.0,42.0,1.0
2021-03-14,Ada,16001.0,0.0,0.0
2021-03-15,Ada,16001.0,124.0,2.0
2021-03-16,Ada,16001.0,101.0,1.0
2021-03-17,Ada,16001.0,106.0,0.0
2021-03-18,Ada,16001.0,85.0,0.0
2021-03-19,Ada,16001.0,107.0,0.0
2021-03-20,Ada,16001.0,55.0,0.0
2021-03-21,Ada,16001.0,0.0,0.0
2021-03-22,Ada,16001.0,127.0,1.0
2021-03-23,Ada,16001.0,71.0,1.0
2021-03-24,Ada,16001.0,74.0,0.0
2021-03-25,Ada,16001.0,94.0,1.0
2021-03-26,Ada,16001.0,103.0,0.0
2021-03-27,Ada,16001.0,54.0,0.0
2021-03-28,Ada,16001.0,0.0,0.0
2021-03-29,Ada,16001.0,128.0,0.0
2021-03-30,Ada,16001.0,114.0,0.0
2021-03-31,Ada,16001.0,93.0,1.0
2021-04-01,Ada,16001.0,98.0,0.0
2021-04-02,Ada,16001.0,92.0,0.0
2021-04-03,Ada,16001.0,0.0,0.0
2021-04-04,Ada,16001.0,0.0,0.0
2021-04-05,Ada,16001.0,235.0,0.0
2021-04-06,Ada,16001.0,97.0,0.0
2021-04-07,Ada,16001.0,101.0,0.0
2021-04-08,Ada,16001.0,116.0,2.0
2021-04-09,Ada,16001.0,100.0,0.0
2021-04-10,Ada,16001.0,0.0,0.0
2021-04-11,Ada,16001.0,0.0,0.0
